Spacecraft,Spacecraft,Organization,Date,Type,Status,Notes,Image,Ref
Martian Moons Exploration (MMX),Martian Moons Exploration (MMX),JAXA,2024 (launch)  Mid-2025 (arrival),orbiter,planned,monitoring Martian climate,,
Tianwen-2 (ZhengHe),Tianwen-2 (ZhengHe),CNSA,May 2025 (launch)  2028 (flyby),flyby,planned,gravity assist en route to 311P/PANSTARRS,,
ExoMars Kazachok (ExoMars),ExoMars Kazachok (ExoMars),RKA /  ESA,NET 2026,lander,suspended,This mission is currently suspended due to sanctions against Russia during the 2022 Russian invasion of Ukraine.,,
,Rosalind Franklin,ESA /  RKA,NET 2026,rover,suspended,This mission is currently suspended due to sanctions against Russia during the 2022 Russian invasion of Ukraine.,,
Mars Orbiter Mission 2,Mars Orbiter Mission 2,ISRO,NET 2024,orbiter,planned,Orbital studies of Mars including Mars' ionosphere,,
Mars 2026,Mars 2026,NASA,July 2026 (launch),rover,under study,,,
Tianwen-3,Tianwen-3,CNSA,2028 (orbiter/return module)2028 (lander/ascent module)2031 (samples to earth),"orbiter/return module,lander/ascent module",planned,"Two spacecrafts: one consists of orbiter and return module, the other of lander, ascent module and a mobile sampling robot.",,
NASA-ESA Mars Sample Return,NASA-ESA Mars Sample Return,NASA /  ESA,2027 (orbiter)2028 (lander)2033 (samples to earth),"orbiter, lander,ascent vehicle,2 autonomous UAV helicopters",planned,"lander carries ascent vehicle;  and 2 Ingenuity class helicopters, that fetch Perseverance samples",,
Next Mars Orbiter (NeMO),Next Mars Orbiter (NeMO),NASA,Late 2020s,orbiter,under study,"Laser communications relay, high-resolution mapping",,
