Spacecraft,Spacecraft,Organization,Date,Type,Status,Notes,Image,Ref
Phobos 1,Phobos 1,USSR,7 July 1988 (launch),flyby,failure,contact lost en route to Mars,,1988-058A
,DAS,USSR,2 September 1988,fixed lander,failure,never deployed,,
Phobos 2,Phobos 2,USSR,27 March 1989 (contact lost),flyby,failure,attained Mars orbit; contact lost prior to deployment of lander,,1988-059A
,DAS,USSR,27 March 1989,fixed lander,failure,never deployed,,
,"""Frog""",USSR,27 March 1989,mobile lander,failure,never deployed,,
Fobos-Grunt,Fobos-Grunt,RKA,8 November 2011 (launch),sample return,failure,failed to escape Earth orbit; launched with Yinghuo-1 Mars orbiter,,2011-065A
MMX,MMX,JAXA,2024 (launch)  2025 (arrival),sample return,planned,orbital insertion in 2025,,
,MMX rover,CNES/ DLR,2025,rover,planned,,,
