Spacecraft,Spacecraft,Organization,Date,Type,Status,Notes,Image,Ref
Helios A,Helios A,DFVLR/ NASA,November 1974 – 1982,orbiter,success,"observations of solar wind, magnetic and electric fields, cosmic rays and cosmic dust between Earth and Sun",,1974-097A
Helios B,Helios B,DFVLR/ NASA,January 1976 – 1985?,orbiter,success,"observations of solar wind, magnetic and electric fields, cosmic rays and cosmic dust between Earth and Sun",,1976-003A
ISEE-3,ISEE-3,NASA,1978–1982,orbiter,success,observed solar phenomena in conjunction with earth-orbiting ISEE-1 and ISEE-2; later renamed International Cometary Explorer (ICE) and directed to Comet Giacobini-Zinner,,1976-003A
Ulysses(first pass),Ulysses(first pass),ESA/ NASA,1994,orbiter,success,south polar observations,,1990-090B
Ulysses(first pass),Ulysses(first pass),ESA/ NASA,1995,orbiter,success,north polar observations,,1990-090B
WIND,WIND,NASA,November 1994 – still active as of February 2020,orbiter,success,solar wind measurements,,1994-071A
SOHO,SOHO,ESA/ NASA,May 1996 – extended to December 2025,orbiter,success,"investigation of Sun's core, corona, and solar wind; comet discoveries",,1995-065A
ACE,ACE,NASA,August 1997 – projected until 2024,orbiter,success,solar wind observations,,1997-045A
